samp_times_4dig,samp_lin
0,1
10.0068,1
12.0082,1
25.0171,1
47.0322,1
54.037,2
56.0384,1
66.0452,2
73.05,2
78.0534,1
80.0548,1
81.0555,4
83.0568,2
84.0575,3
87.0596,1
89.061,1
92.063,3
93.0637,4
96.0658,5
98.0671,3
99.0678,1
100.0685,4
101.0692,2
106.0726,1
114.0781,1
119.0815,1
121.0829,1
123.0842,1
126.0863,2
127.087,2
132.0904,2
135.0925,4
136.0932,6
138.0945,2
140.0959,1
141.0966,6
144.0986,6
146.1,1
147.1007,9
148.1014,5
151.1034,2
152.1041,2
154.1055,3
158.1082,4
159.1089,1
160.1096,3
161.1103,2
163.1116,2
166.1137,2
168.1151,1
171.1171,7
172.1178,14
174.1192,2
176.1205,4
177.1212,1
178.1219,5
179.1226,3
180.1233,2
181.124,7
182.1247,8
183.1253,2
184.126,1
188.1288,2
190.1301,1
194.1329,2
195.1336,1
203.139,1
204.1397,1
207.1418,5
210.1438,1
211.1445,1
215.1473,1
217.1486,2
218.1493,1
225.1541,2
226.1548,1
228.1562,1
230.1575,1
234.1603,2
235.161,1
236.1616,1
239.1637,4
